id,name,last_name,gender,age,id_boss,is_dead,in_jail,was_boss,is_boss
1,Brynn,Ervine,Female,30,590-32-2037,false,false,false,true
2,Carole,Swadlin,Female,60,713-19-0891,true,true,false,false
3,Shana,Hannond,Female,3,638-43-9012,false,true,true,true
4,Standford,Redparth,Male,41,100-90-0200,true,true,false,true
5,Joseph,Buttress,Male,37,378-19-8715,true,false,true,true
6,Obed,Bruhn,Male,96,420-25-7533,true,true,true,false
7,Selby,Blowne,Male,72,845-91-7756,false,true,false,true
8,Bobby,Fawthrop,Bigender,60,578-46-5252,false,false,false,false
9,Murdoch,Feedome,Male,4,578-19-1607,true,true,false,false
10,Esther,Thow,Female,67,413-41-5142,false,false,false,true
11,Ella,Longhorne,Female,91,109-51-6094,true,true,false,true
12,Hamel,Tour,Male,5,441-98-4030,true,true,false,true
13,Cos,Beswell,Male,57,515-64-9112,false,true,false,false
14,Udell,Portchmouth,Male,30,481-15-0425,false,false,true,false
15,Ruben,Yonnie,Male,36,128-60-7002,false,false,true,false
16,Edward,Alliot,Male,65,108-24-4466,true,false,false,true
17,Hastings,Duprey,Male,75,834-48-0302,false,false,false,true
18,Ermengarde,Worg,Bigender,76,696-84-3092,false,false,true,true
19,Bren,Lovelace,Male,7,744-83-3650,true,true,true,false
20,Nickie,Kik,Genderqueer,74,118-11-2597,true,true,false,false
21,Jourdan,Yelding,Female,90,803-92-7370,false,false,true,false
22,Wilone,Ocklin,Female,80,384-87-5700,false,false,true,true
23,Warren,Scad,Male,95,309-39-2940,false,false,true,false
24,Renato,Tarte,Male,30,700-07-6848,true,true,true,true
25,Shaylah,Salvati,Female,24,776-38-0953,true,false,true,false
26,Adham,Beall,Genderqueer,16,652-58-1787,true,false,true,true
27,Wendy,Beckson,Female,55,263-47-3324,false,false,false,false
28,Shantee,McVitty,Female,59,340-52-0350,true,true,true,false
29,Romola,Serle,Female,96,103-54-0784,true,true,false,true
30,Jeanie,Nussgen,Female,88,549-67-3743,false,false,true,true
31,Silas,Weldon,Male,59,721-42-3953,false,false,true,false
32,Pate,Petronis,Male,86,443-72-7413,false,false,false,true
33,Melisent,Clist,Female,45,618-43-9063,true,true,true,false
34,Godfrey,Raittie,Male,37,504-91-4257,false,true,false,true
35,Clarinda,Itzhaki,Female,7,630-51-5626,false,true,false,false
36,Stern,Finnick,Male,64,743-43-0344,false,true,true,false
37,Farly,Mulheron,Male,13,163-79-2005,true,false,false,true
38,Neale,Stirrip,Male,73,331-37-6068,false,false,true,false
39,Glenda,Chaney,Female,41,522-99-4141,false,false,true,false
40,Edlin,Sigmund,Male,54,497-75-0326,true,false,false,false
